species,group,recorder,date,estimate,estimate2,location
whale,1,Drummey,9/20/2016,150,130,MPA
whale,1,Drummey,9/20/2016,130,90,MPA
whale,1,Drummey,9/20/2016,118,97,MPA
whale,1,Drummey,9/20/2016,115,85,MPA
whale,1,Drummey,9/20/2016,112,125,MPA
whale,1,Drummey,9/20/2016,90,120,MPA
whale,2,Drummey,9/20/2016,120,125,MPA
whale,2,Drummey,9/20/2016,116,132,MPA
whale,2,Drummey,9/20/2016,100,120,MPA
whale,2,Drummey,9/20/2016,100,90,MPA
whale,2,Drummey,9/20/2016,82,101,MPA
whale,2,Drummey,9/20/2016,80,110,MPA
whale,3,Drummey,9/20/2016,130,115,MPA
whale,3,Drummey,9/20/2016,120,70,MPA
whale,3,Drummey,9/20/2016,100,125,MPA
whale,3,Drummey,9/20/2016,86,110,MPA
whale,3,Drummey,9/20/2016,84,103,MPA
whale,3,Drummey,9/20/2016,75,115,MPA
whale,4,Drummey,9/20/2016,100,110,MPA
whale,4,Drummey,9/20/2016,100,100,MPA
whale,4,Drummey,9/20/2016,92,108,MPA
whale,4,Drummey,9/20/2016,90,110,MPA
whale,4,Drummey,9/20/2016,89,107,MPA
whale,4,Drummey,9/20/2016,85,105,MPA
whale,5,Drummey,9/20/2016,140,115,MPA
whale,5,Drummey,9/20/2016,125,139,MPA
whale,5,Drummey,9/20/2016,120,140,MPA
whale,5,Drummey,9/20/2016,95,105,MPA
whale,5,Drummey,9/20/2016,83,117,MPA
whale,6,Drummey,9/20/2016,135,165,MPA
whale,6,Drummey,9/20/2016,115,133,MPA
whale,6,Drummey,9/20/2016,95,105,MPA
whale,6,Drummey,9/20/2016,90,110,MPA
whale,6,Drummey,9/20/2016,64,73,MPA
whale,7,Drummey,9/20/2016,110,125,MPA
whale,7,Drummey,9/20/2016,96,104,MPA
whale,7,Drummey,9/20/2016,95,120,MPA
whale,7,Drummey,9/20/2016,93,112,MPA
whale,7,Drummey,9/20/2016,93,114,MPA
whale,7,Drummey,9/20/2016,90,103,MPA
