"","site","sample","n_species","n_individuals"
"1",1,1,21,101
"2",1,1,21,101
"3",1,1,20,104
"4",1,1,20,104
"5",1,1,18,100
"6",1,1,18,100
"7",1,1,18,100
"8",1,1,14,27
"9",1,1,11,24
"10",1,1,5,11
"11",1,2,21,108
"12",1,2,21,108
"13",1,2,17,31
"14",1,2,16,114
"15",1,2,16,114
"16",1,2,16,114
"17",1,2,16,35
"18",1,2,9,53
"19",1,2,9,53
"20",1,2,5,15
"21",1,3,22,92
"22",1,3,22,92
"23",1,3,16,47
"24",1,3,16,47
"25",1,3,16,47
"26",1,3,15,38
"27",1,3,12,44
"28",1,3,12,44
"29",1,3,10,15
"30",1,3,8,52
"31",1,4,21,105
"32",1,4,21,105
"33",1,4,20,105
"34",1,4,20,105
"35",1,4,15,117
"36",1,4,15,117
"37",1,4,15,117
"38",1,4,11,16
"39",1,4,9,37
"40",1,4,7,20
"41",1,5,24,93
"42",1,5,24,93
"43",1,5,9,12
"44",1,5,6,41
"45",1,6,26,266
"46",1,6,26,266
"47",1,6,5,18
"48",1,6,5,12
"49",1,7,23,385
"50",1,7,23,385
"51",1,7,13,28
"52",1,7,6,17
"53",1,8,21,206
"54",1,8,21,206
"55",1,8,14,24
"56",1,8,3,5
"57",1,9,19,204
"58",1,9,19,204
"59",1,9,6,15
"60",1,10,6,14
"61",1,11,4,5
"62",1,12,5,16
"63",1,13,6,8
"64",1,14,7,100
"65",1,15,4,11
"66",2,1,19,225
"67",2,1,16,36
"68",2,1,12,46
"69",2,1,12,46
"70",2,1,12,46
"71",2,1,12,46
"72",2,1,12,46
"73",2,1,9,10
"74",2,1,7,17
"75",2,1,7,17
"76",2,2,20,79
"77",2,2,20,79
"78",2,2,20,79
"79",2,2,20,79
"80",2,2,20,79
"81",2,2,11,19
"82",2,2,9,10
"83",2,2,8,17
"84",2,2,8,17
"85",2,2,7,10
"86",2,3,13,32
"87",2,3,13,32
"88",2,3,13,32
"89",2,3,13,32
"90",2,3,13,32
"91",2,3,12,30
"92",2,3,8,11
"93",2,3,6,10
"94",2,3,6,8
"95",2,3,6,8
"96",2,4,14,70
"97",2,4,14,70
"98",2,4,14,70
"99",2,4,14,70
"100",2,4,14,70
"101",2,4,8,13
"102",2,4,8,13
"103",2,4,7,10
"104",2,5,16,124
"105",2,5,16,124
"106",2,5,16,124
"107",2,5,16,124
"108",2,5,16,124
"109",2,6,13,300
"110",2,6,13,300
"111",2,6,13,300
"112",2,6,13,300
"113",2,6,13,300
"114",2,7,15,114
"115",2,7,15,114
"116",2,7,15,114
"117",2,7,15,114
"118",2,7,15,114
"119",2,7,8,9
"120",2,8,15,23
"121",2,8,15,184
"122",2,8,15,184
"123",2,8,15,184
"124",2,8,15,184
"125",2,8,15,184
"126",2,9,10,27
"127",2,9,9,18
"128",2,10,14,32
"129",2,10,8,16
"130",3,1,14,91
"131",3,1,14,91
"132",3,1,11,27
"133",3,2,13,73
"134",3,2,13,73
"135",3,2,10,37
"136",3,3,17,130
"137",3,3,17,130
"138",3,3,14,37
"139",3,3,8,12
"140",3,4,14,53
"141",3,4,14,53
"142",3,4,12,20
"143",3,4,6,8
"144",3,5,19,85
"145",3,5,16,42
"146",3,5,16,42
"147",3,6,11,27
"148",3,6,11,27
"149",3,7,22,56
"150",3,7,12,32
"151",3,7,12,32
"152",3,7,6,6
"153",3,8,13,27
"154",3,8,13,27
"155",3,9,6,8
"156",3,9,5,6
"157",3,9,5,6
"158",3,10,4,4
"159",3,10,4,4
"160",3,11,8,35
"161",3,11,8,35
"162",3,12,13,55
"163",3,12,13,55
"164",3,13,11,41
"165",3,13,11,41
"166",3,14,7,9
"167",3,14,7,9
"168",3,15,4,4
"169",3,15,4,4
"170",4,1,12,50
"171",4,1,6,8
"172",4,1,6,8
"173",4,2,12,20
"174",4,2,12,20
"175",4,2,8,46
"176",4,3,22,56
"177",4,3,22,56
"178",4,3,9,59
"179",4,4,19,85
"180",4,4,19,85
"181",4,5,6,8
"182",4,5,6,8
"183",4,6,6,6
"184",4,6,6,6
"185",4,7,11,27
"186",4,7,11,27
"187",4,8,8,12
"188",4,8,8,12
"189",4,9,7,10
"190",4,9,7,10
"191",4,10,9,10
"192",4,10,9,10
"193",4,11,6,10
"194",4,11,6,10
"195",4,12,7,10
"196",4,12,7,10
"197",4,13,9,18
"198",4,13,9,18
"199",4,14,14,32
"200",4,14,14,32
"201",4,15,8,16
"202",4,15,8,16
"203",4,16,15,23
"204",4,16,15,23
"205",4,17,12,30
"206",4,17,12,30
"207",4,18,10,37
"208",4,18,10,37
"209",4,19,14,37
"210",4,19,14,37
"211",4,11,27,38
"212",4,12,32,44
"213",4,13,27,40
"214",4,5,6,11
"215",4,4,4,8
"216",4,7,9,16
"217",4,4,4,8
"218",4,1,21,276
"219",4,2,15,61
"220",4,3,24,98
"221",4,4,16,52
