plot_id,plot_area,salamander_counts,pine_counts,salamander_dens,pine_density
1,5,33,28,6.6,5.6
2,4,132,35,33,8.75
3,7,72,21,10.2857142857143,3
4,6,22,18,3.66666666666667,3
5,6,76,27,12.6666666666667,4.5
6,5,35,11,7,2.2
7,6,41,16,6.83333333333333,2.66666666666667
8,5,41,13,8.2,2.6
9,4,91,28,22.75,7
10,5,53,41,10.6,8.2
11,6,37,17,6.16666666666667,2.83333333333333
12,3,34,18,11.3333333333333,6
13,4,71,25,17.75,6.25
14,6,43,11,7.16666666666667,1.83333333333333
15,4,46,16,11.5,4
16,4,28,11,7,2.75
17,6,70,19,11.6666666666667,3.16666666666667
18,7,38,13,5.42857142857143,1.85714285714286
19,5,83,23,16.6,4.6
20,4,51,29,12.75,7.25
